2025-01-23 17:15:54 [main] INFO  com.frizo.daphnis.Main - Scheduler started. Press Ctrl+C to stop.
2025-01-23 17:17:14 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:15 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:16 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:17 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:18 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:19 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:20 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:21 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:22 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:23 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:24 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:25 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:26 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:27 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:28 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:29 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:30 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:31 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:32 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:33 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:34 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:35 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:36 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:37 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:38 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:39 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:40 [DefaultQuartzScheduler_Worker-7] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:41 [DefaultQuartzScheduler_Worker-8] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:42 [DefaultQuartzScheduler_Worker-9] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:43 [DefaultQuartzScheduler_Worker-10] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:44 [DefaultQuartzScheduler_Worker-1] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:45 [DefaultQuartzScheduler_Worker-2] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:46 [DefaultQuartzScheduler_Worker-3] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:47 [DefaultQuartzScheduler_Worker-4] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:48 [DefaultQuartzScheduler_Worker-5] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:49 [DefaultQuartzScheduler_Worker-6] INFO  com.frizo.daphnis.MyJob - Hello, World!
2025-01-23 17:17:56 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2025-01-23 17:17:56 [main] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: main
2025-01-23 17:17:56 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2025-01-23 17:17:56 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
2025-01-23 17:17:56 [main] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
2025-01-23 17:17:56 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2025-01-23 17:17:56 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
2025-01-23 17:17:56 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
2025-01-23 17:17:56 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started.
2025-01-23 17:20:07 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2025-01-23 17:20:07 [main] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: main
2025-01-23 17:20:07 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
